,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
0,1,60,RL,65.0,8450.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,706.0,Unf,0,150.0,856.0,GasA,Ex,Y,SBrkr,856.0,854.0,0,1710.0,1,0,2,1,3,1,Gd,8,Typ,0,,Attchd,2003.0,RFn,2,548.0,TA,TA,Y,0.0,61.0,0,0,0,0.0,,,,0,2,2008,WD,Normal,208500.0
1,2,20,RL,80.0,9600.0,Pave,,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,978.0,Unf,0,284.0,1262.0,GasA,Ex,Y,SBrkr,1262.0,0.0,0,1262.0,0,1,2,0,3,1,TA,6,Typ,1,TA,Attchd,1976.0,RFn,2,460.0,TA,TA,Y,298.0,0.0,0,0,0,0.0,,,,0,5,2007,WD,Normal,181500.0
2,3,60,RL,68.0,11250.0,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,486.0,Unf,0,434.0,920.0,GasA,Ex,Y,SBrkr,920.0,866.0,0,1786.0,1,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,2001.0,RFn,2,608.0,TA,TA,Y,0.0,42.0,0,0,0,0.0,,,,0,9,2008,WD,Normal,223500.0
3,4,70,RL,60.0,9550.0,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,216.0,Unf,0,540.0,756.0,GasA,Gd,Y,SBrkr,961.0,756.0,0,1717.0,1,0,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,1998.0,Unf,3,642.0,TA,TA,Y,0.0,35.0,272,0,0,0.0,,,,0,2,2006,WD,Abnorml,140000.0
4,5,60,RL,84.0,14260.0,Pave,,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Gd,TA,Av,GLQ,655.0,Unf,0,490.0,1145.0,GasA,Ex,Y,SBrkr,1145.0,1053.0,0,2198.0,1,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,2000.0,RFn,3,836.0,TA,TA,Y,192.0,84.0,0,0,0,0.0,,,,0,12,2008,WD,Normal,250000.0
5,6,50,RL,85.0,14115.0,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,Wood,Gd,TA,No,GLQ,732.0,Unf,0,64.0,796.0,GasA,Ex,Y,SBrkr,796.0,566.0,0,1362.0,1,0,1,1,1,1,TA,5,Typ,0,,Attchd,1993.0,Unf,2,480.0,TA,TA,Y,40.0,30.0,0,320,0,0.0,,MnPrv,Shed,700,10,2009,WD,Normal,143000.0
6,7,20,RL,75.0,10084.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1369.0,Unf,0,317.0,1686.0,GasA,Ex,Y,SBrkr,1694.0,0.0,0,1694.0,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2004.0,RFn,2,636.0,TA,TA,Y,255.0,57.0,0,0,0,0.0,,,,0,8,2007,WD,Normal,307000.0
7,8,60,RL,,10382.0,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,859.0,BLQ,32,216.0,1107.0,GasA,Ex,Y,SBrkr,1107.0,983.0,0,2090.0,1,0,2,1,3,1,TA,7,Typ,2,TA,Attchd,1973.0,RFn,2,484.0,TA,TA,Y,235.0,204.0,228,0,0,0.0,,,Shed,350,11,2009,WD,Normal,200000.0
8,9,50,RM,51.0,6120.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0,952.0,952.0,GasA,Gd,Y,FuseF,1022.0,752.0,0,1774.0,0,0,2,0,2,2,TA,8,Min1,2,TA,Detchd,1931.0,Unf,2,468.0,Fa,TA,Y,90.0,0.0,205,0,0,0.0,,,,0,4,2008,WD,Abnorml,129900.0
9,10,190,RL,50.0,7420.0,Pave,,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,851.0,Unf,0,140.0,991.0,GasA,Ex,Y,SBrkr,1077.0,0.0,0,1077.0,1,0,1,0,2,2,TA,5,Typ,2,TA,Attchd,1939.0,RFn,1,205.0,Gd,TA,Y,0.0,4.0,0,0,0,0.0,,,,0,1,2008,WD,Normal,118000.0
10,11,20,RL,70.0,11200.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,906.0,Unf,0,134.0,1040.0,GasA,Ex,Y,SBrkr,1040.0,0.0,0,1040.0,1,0,1,0,3,1,TA,5,Typ,0,,Detchd,1965.0,Unf,1,384.0,TA,TA,Y,0.0,0.0,0,0,0,0.0,,,,0,2,2008,WD,Normal,129500.0
11,12,60,RL,85.0,11924.0,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,998.0,Unf,0,177.0,1175.0,GasA,Ex,Y,SBrkr,1182.0,1142.0,0,2324.0,1,0,3,0,4,1,Ex,11,Typ,2,Gd,BuiltIn,2005.0,Fin,3,736.0,TA,TA,Y,147.0,21.0,0,0,0,0.0,,,,0,7,2006,New,Partial,345000.0
12,13,20,RL,,12968.0,Pave,,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,737.0,Unf,0,175.0,912.0,GasA,TA,Y,SBrkr,912.0,0.0,0,912.0,1,0,1,0,2,1,TA,4,Typ,0,,Detchd,1962.0,Unf,1,352.0,TA,TA,Y,140.0,0.0,0,0,176,0.0,,,,0,9,2008,WD,Normal,144000.0
13,14,20,RL,91.0,10652.0,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0,1494.0,1494.0,GasA,Ex,Y,SBrkr,1494.0,0.0,0,1494.0,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2006.0,RFn,3,840.0,TA,TA,Y,160.0,33.0,0,0,0,0.0,,,,0,8,2007,New,Partial,279500.0
14,15,20,RL,,10920.0,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,BLQ,733.0,Unf,0,520.0,1253.0,GasA,TA,Y,SBrkr,1253.0,0.0,0,1253.0,1,0,1,1,2,1,TA,5,Typ,1,Fa,Attchd,1960.0,RFn,1,352.0,TA,TA,Y,0.0,213.0,176,0,0,0.0,,GdWo,,0,5,2008,WD,Normal,157000.0
15,16,45,RM,51.0,6120.0,Pave,,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0,832.0,832.0,GasA,Ex,Y,FuseA,854.0,0.0,0,854.0,0,0,1,0,2,1,TA,5,Typ,0,,Detchd,1991.0,Unf,2,576.0,TA,TA,Y,48.0,112.0,0,0,0,0.0,,GdPrv,,0,7,2007,WD,Normal,132000.0
16,17,20,RL,,11241.0,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,578.0,Unf,0,426.0,1004.0,GasA,Ex,Y,SBrkr,1004.0,0.0,0,1004.0,1,0,1,0,2,1,TA,5,Typ,1,TA,Attchd,1970.0,Fin,2,480.0,TA,TA,Y,0.0,0.0,0,0,0,0.0,,,Shed,700,3,2010,WD,Normal,149000.0
17,18,90,RL,72.0,10791.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,Slab,,,,,0.0,,0,0.0,0.0,GasA,TA,Y,SBrkr,1296.0,0.0,0,1296.0,0,0,2,0,2,2,TA,6,Typ,0,,CarPort,1967.0,Unf,2,516.0,TA,TA,Y,0.0,0.0,0,0,0,0.0,,,Shed,500,10,2006,WD,Normal,90000.0
18,19,20,RL,66.0,13695.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,GLQ,646.0,Unf,0,468.0,1114.0,GasA,Ex,Y,SBrkr,1114.0,0.0,0,1114.0,1,0,1,1,3,1,Gd,6,Typ,0,,Detchd,2004.0,Unf,2,576.0,TA,TA,Y,0.0,102.0,0,0,0,0.0,,,,0,6,2008,WD,Normal,159000.0
19,20,20,RL,70.0,7560.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,504.0,Unf,0,525.0,1029.0,GasA,TA,Y,SBrkr,1339.0,0.0,0,1339.0,0,0,1,0,3,1,TA,6,Min1,0,,Attchd,1958.0,Unf,1,294.0,TA,TA,Y,0.0,0.0,0,0,0,0.0,,MnPrv,,0,5,2009,COD,Abnorml,139000.0
20,21,60,RL,101.0,14215.0,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0,1158.0,1158.0,GasA,Ex,Y,SBrkr,1158.0,1218.0,0,2376.0,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2005.0,RFn,3,853.0,TA,TA,Y,240.0,154.0,0,0,0,0.0,,,,0,11,2006,New,Partial,325300.0
